,part_name,part_id,voice_id,instrument_name,metronome_mark,quarter_bpm,time_signature,scale,element_class_name,pitch_name,pitch_class,octave,velocity,quarter_length,offset
10028,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,B-,10.0,2.0,90.0,1.0,0.0
10029,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,4.0,94.0,1.0,0.0
10030,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,E,4.0,4.0,94.0,1.0,0.0
10031,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,G,7.0,3.0,98.0,1.0,0.0
10032,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,3.0,98.0,1.0,0.0
10033,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,4.0,103.0,1.0,0.0
10034,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,103.0,1.0,0.0
10035,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,98.0,1.0,0.0
10036,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,2.0,94.0,1.0,0.0
10037,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,57.0,1.0,0.0
10038,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,64.0,1.0,0.0
10039,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,61.0,1.0,0.0
10040,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,63.0,1.0,0.0
10041,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,66.0,1.0,0.0
10042,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,64.0,1.0,0.0
10043,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,64.0,1.0,0.0
10044,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,64.0,1.0,0.0
10045,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,63.0,1.0,0.0
10046,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,66.0,1.0,0.0
10047,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,59.0,1.0,0.0
10048,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,62.0,1.0,0.0
10049,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,67.0,1.0,0.0
10050,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,64.0,1.0,0.0
10051,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,65.0,1.0,0.0
10052,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,64.0,1.0,0.0
10053,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,62.0,1.0,0.0
10054,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,62.0,1.0,0.0
10055,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,2.0,59.0,1.0,0.0
10056,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,D,2.0,4.0,61.0,1.0,0.0
10057,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,61.0,1.0,0.0
10058,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,B-,10.0,3.0,61.0,1.0,0.0
10059,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,B-,10.0,2.0,60.0,1.0,0.0
10060,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,4.0,59.0,1.0,0.0
10061,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,E,4.0,4.0,59.0,1.0,0.0
10062,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,G,7.0,3.0,64.0,1.0,0.0
10063,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,3.0,65.0,1.0,0.0
10064,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,4.0,67.0,1.0,0.0
10065,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,67.0,1.0,0.0
10066,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,64.0,1.0,0.0
10067,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,2.0,62.0,1.0,0.0
10068,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,4.0,70.0,1.0,0.0
10069,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,70.0,1.0,0.0
10070,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,73.0,1.0,0.0
10071,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,84.0,1.0,0.0
10072,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,84.0,1.0,0.0
10073,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,74.0,1.0,0.0
10074,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,80.0,1.0,0.0
10075,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,80.0,1.0,0.0
10076,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,79.0,1.0,0.0
10077,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,79.0,1.0,0.0
10078,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,79.0,1.0,0.0
10079,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,80.0,1.0,0.0
10080,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,79.0,1.0,0.0
10081,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,79.0,1.0,0.0
10082,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,79.0,1.0,0.0
10083,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,4.0,76.0,1.0,0.0
10084,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,76.0,1.0,0.0
10085,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,2.0,76.0,1.0,0.0
10086,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,4.0,73.0,1.0,0.0
10087,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,73.0,1.0,0.0
10088,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,72.0,1.0,0.0
10089,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,85.0,1.0,0.0
10090,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,85.0,1.0,0.0
10091,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,77.0,1.0,0.0
10092,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,79.0,1.0,0.0
10093,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,79.0,1.0,0.0
10094,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,81.0,1.0,0.0
10095,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,80.0,1.0,0.0
10096,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,80.0,1.0,0.0
10097,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,79.0,1.0,0.0
10098,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,81.0,1.0,0.0
10099,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,81.0,1.0,0.0
10100,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,3.0,77.0,1.0,0.0
10101,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,4.0,76.0,1.0,0.0
10102,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,76.0,1.0,0.0
10103,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,2.0,77.0,1.0,0.0
10104,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,F,5.0,4.0,74.0,1.0,0.0
10105,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,74.0,1.0,0.0
10106,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,3.0,72.0,1.0,0.0
10107,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,84.0,1.0,0.0
10108,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,5.0,84.0,1.0,0.0
10109,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,2.0,74.0,1.0,0.0
10110,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,80.0,1.0,0.0
10111,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,5.0,80.0,1.0,0.0
10112,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,2.0,80.0,1.0,0.0
10113,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,A,9.0,4.0,79.0,1.0,0.0
10114,Harpsichord,4658967160,4658969960.0,Harpsichord,,,4/4,F major,Chord,C,0.0,5.0,79.0,1.0,0.0
